#tags,package name,function
,nomacs,"Image viewer. The default with Mate (eom) has problems."
g,guayadeque,"Music player. Be sure to add the repository before installing."
,mpv,"Video player."
s,texlive-full,"TeX. If you're in a rush, save this one for later - it's large."
s,stellarium,"Planetarium software. Very accurate and free."
,screenkey,"Displays in large text what you are typing. For screen sharing sessions."
s,virtualbox,"Virtual machine software."
s,asunder,"CD ripper. Used on my desktop every few visits to the thrift store."
s,krita,"Image editor. Pinta is useless and GIMP has an unecessary curve."
,gparted,"GUI partition manager."
,gstreamer1.0-plugins-bad,"Required codecs for m4a audio"
,transmission,"Torrent client."
